sname,rname,order,city,province,geometry
上海富锦路(地铁站),上海地铁1号线(富锦路--莘庄),1,上海,上海市,"31.39404506,121.42000808"
上海友谊西路(地铁站),上海地铁1号线(富锦路--莘庄),2,上海,上海市,"31.38308783,121.42330572"
上海宝安公路(地铁站),上海地铁1号线(富锦路--莘庄),3,上海,上海市,"31.37135416,121.42627176"
上海共富新村(地铁站),上海地铁1号线(富锦路--莘庄),4,上海,上海市,"31.35688994,121.42942848"
上海呼兰路(地铁站),上海地铁1号线(富锦路--莘庄),5,上海,上海市,"31.34152185,121.43308404"
上海通河新村(地铁站),上海地铁1号线(富锦路--莘庄),6,上海,上海市,"31.33295683,121.43692739"
上海共康路(地铁站),上海地铁1号线(富锦路--莘庄),7,上海,上海市,"31.32077824,121.44245648"
上海彭浦新村(地铁站),上海地铁1号线(富锦路--莘庄),8,上海,上海市,"31.30845444,121.44404066"
上海汶水路(地铁站),上海地铁1号线(富锦路--莘庄),9,上海,上海市,"31.29441571,121.44565559"
上海上海马戏城(地铁站),上海地铁1号线(富锦路--莘庄),10,上海,上海市,"31.28176347,121.44743254"
上海延长路(地铁站),上海地铁1号线(富锦路--莘庄),11,上海,上海市,"31.27355265,121.45074729"
上海中山北路(地铁站),上海地铁1号线(富锦路--莘庄),12,上海,上海市,"31.26078422,121.45463391"
上海上海火车站(地铁站),上海地铁1号线(富锦路--莘庄),13,上海,上海市,"31.24914458,121.45110607"
上海汉中路(地铁站),上海地铁1号线(富锦路--莘庄),14,上海,上海市,"31.24378287,121.45413023"
上海新闸路(地铁站),上海地铁1号线(富锦路--莘庄),15,上海,上海市,"31.24029698,121.46360999"
上海人民广场(地铁站),上海地铁1号线(富锦路--莘庄),16,上海,上海市,"31.23463192,121.47058976"
上海一大会址·黄陂南路(地铁站),上海地铁1号线(富锦路--莘庄),17,上海,上海市,"31.22467231,121.4686937"
上海陕西南路(地铁站),上海地铁1号线(富锦路--莘庄),18,上海,上海市,"31.21914406,121.45539229"
上海常熟路(地铁站),上海地铁1号线(富锦路--莘庄),19,上海,上海市,"31.21527685,121.44645981"
上海衡山路(地铁站),上海地铁1号线(富锦路--莘庄),20,上海,上海市,"31.20641737,121.44182586"
上海徐家汇(地铁站),上海地铁1号线(富锦路--莘庄),21,上海,上海市,"31.19357994,121.43351904"
上海上海体育馆(地铁站),上海地铁1号线(富锦路--莘庄),22,上海,上海市,"31.18388461,121.43165632"
上海漕宝路(地铁站),上海地铁1号线(富锦路--莘庄),23,上海,上海市,"31.17011773,121.43008327"
上海上海南站(地铁站),上海地铁1号线(富锦路--莘庄),24,上海,上海市,"31.15646891,121.42541632"
上海锦江乐园(地铁站),上海地铁1号线(富锦路--莘庄),25,上海,上海市,"31.14409852,121.40946646"
上海莲花路(地铁站),上海地铁1号线(富锦路--莘庄),26,上海,上海市,"31.13278476,121.39826644"
上海外环路(地铁站),上海地铁1号线(富锦路--莘庄),27,上海,上海市,"31.12279218,121.38838039"
上海莘庄(地铁站),上海地铁1号线(富锦路--莘庄),28,上海,上海市,"31.11305321,121.38073913"
上海莘庄(地铁站),上海地铁1号线(莘庄--富锦路),1,上海,上海市,"31.11305482,121.38073897"
上海外环路(地铁站),上海地铁1号线(莘庄--富锦路),2,上海,上海市,"31.12279196,121.38838081"
上海莲花路(地铁站),上海地铁1号线(莘庄--富锦路),3,上海,上海市,"31.13278559,121.39826736"
上海锦江乐园(地铁站),上海地铁1号线(莘庄--富锦路),4,上海,上海市,"31.14409996,121.40946646"
上海上海南站(地铁站),上海地铁1号线(莘庄--富锦路),5,上海,上海市,"31.15646924,121.42541688"
上海漕宝路(地铁站),上海地铁1号线(莘庄--富锦路),6,上海,上海市,"31.17011758,121.43008376"
上海上海体育馆(地铁站),上海地铁1号线(莘庄--富锦路),7,上海,上海市,"31.18388466,121.43165633"
上海徐家汇(地铁站),上海地铁1号线(莘庄--富锦路),8,上海,上海市,"31.1935793,121.43351841"
上海衡山路(地铁站),上海地铁1号线(莘庄--富锦路),9,上海,上海市,"31.20641869,121.44182738"
上海常熟路(地铁站),上海地铁1号线(莘庄--富锦路),10,上海,上海市,"31.21527736,121.44646166"
上海陕西南路(地铁站),上海地铁1号线(莘庄--富锦路),11,上海,上海市,"31.21914424,121.45539322"
上海一大会址·黄陂南路(地铁站),上海地铁1号线(莘庄--富锦路),12,上海,上海市,"31.22467128,121.46869346"
上海人民广场(地铁站),上海地铁1号线(莘庄--富锦路),13,上海,上海市,"31.23463149,121.47059015"
上海新闸路(地铁站),上海地铁1号线(莘庄--富锦路),14,上海,上海市,"31.24029759,121.46361042"
上海汉中路(地铁站),上海地铁1号线(莘庄--富锦路),15,上海,上海市,"31.24378202,121.4541295"
上海上海火车站(地铁站),上海地铁1号线(莘庄--富锦路),16,上海,上海市,"31.24914525,121.45110492"
上海中山北路(地铁站),上海地铁1号线(莘庄--富锦路),17,上海,上海市,"31.26078415,121.45463493"
上海延长路(地铁站),上海地铁1号线(莘庄--富锦路),18,上海,上海市,"31.27355414,121.4507472"
上海上海马戏城(地铁站),上海地铁1号线(莘庄--富锦路),19,上海,上海市,"31.28176291,121.44743264"
上海汶水路(地铁站),上海地铁1号线(莘庄--富锦路),20,上海,上海市,"31.29441566,121.44565462"
上海彭浦新村(地铁站),上海地铁1号线(莘庄--富锦路),21,上海,上海市,"31.30845379,121.44404111"
上海共康路(地铁站),上海地铁1号线(莘庄--富锦路),22,上海,上海市,"31.32077889,121.44245723"
上海通河新村(地铁站),上海地铁1号线(莘庄--富锦路),23,上海,上海市,"31.33295756,121.43692787"
上海呼兰路(地铁站),上海地铁1号线(莘庄--富锦路),24,上海,上海市,"31.34152204,121.43308366"
上海共富新村(地铁站),上海地铁1号线(莘庄--富锦路),25,上海,上海市,"31.35688981,121.42942786"
上海宝安公路(地铁站),上海地铁1号线(莘庄--富锦路),26,上海,上海市,"31.3713543,121.42627226"
上海友谊西路(地铁站),上海地铁1号线(莘庄--富锦路),27,上海,上海市,"31.38308741,121.42330627"
上海富锦路(地铁站),上海地铁1号线(莘庄--富锦路),28,上海,上海市,"31.39404472,121.42000927"
上海虹桥火车站(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),1,上海,上海市,"31.19598311,121.31443044"
上海虹桥2号航站楼(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),2,上海,上海市,"31.19615952,121.32176384"
上海淞虹路(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),3,上海,上海市,"31.22010141,121.35492751"
上海中山公园(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),4,上海,上海市,"31.22032325,121.4133766"
上海静安寺(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),5,上海,上海市,"31.22511179,121.4419343"
上海人民广场(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),6,上海,上海市,"31.23509568,121.46812559"
上海世纪大道(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),7,上海,上海市,"31.23078121,121.522877"
上海龙阳路(地铁站),上海地铁2号线(夜班)(虹桥火车站--龙阳路),8,上海,上海市,"31.20517167,121.5531285"
上海浦东1号2号航站楼(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),1,上海,上海市,"31.15213247,121.80220895"
上海海天三路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),2,上海,上海市,"31.17054153,121.79256704"
上海远东大道(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),3,上海,上海市,"31.20141446,121.75092969"
上海凌空路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),4,上海,上海市,"31.19490762,121.7197285"
上海川沙(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),5,上海,上海市,"31.1888237,121.69387453"
上海华夏东路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),6,上海,上海市,"31.19868363,121.67666725"
上海创新中路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),7,上海,上海市,"31.21598559,121.66942139"
上海唐镇(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),8,上海,上海市,"31.21625474,121.65201072"
上海广兰路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),9,上海,上海市,"31.21324925,121.61686455"
上海金科路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),10,上海,上海市,"31.20642676,121.59778968"
上海张江高科(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),11,上海,上海市,"31.20408548,121.58328664"
上海龙阳路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),12,上海,上海市,"31.20517151,121.55312853"
上海世纪公园(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),13,上海,上海市,"31.21158603,121.54664538"
上海上海科技馆(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),14,上海,上海市,"31.22096549,121.54015729"
上海世纪大道(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),15,上海,上海市,"31.23078089,121.52287659"
上海浦东南路(原东昌路)(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),16,上海,上海市,"31.2353341,121.5111808"
上海陆家嘴(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),17,上海,上海市,"31.2402804,121.49770395"
上海南京东路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),18,上海,上海市,"31.23906727,121.47911859"
上海人民广场(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),19,上海,上海市,"31.23509701,121.46812648"
上海南京西路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),20,上海,上海市,"31.2317599,121.4554064"
上海静安寺(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),21,上海,上海市,"31.22511224,121.44193342"
上海江苏路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),22,上海,上海市,"31.2217598,121.42783337"
上海中山公园(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),23,上海,上海市,"31.22032453,121.41337655"
上海娄山关路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),24,上海,上海市,"31.21300184,121.39940903"
上海威宁路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),25,上海,上海市,"31.21671684,121.38263986"
上海北新泾(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),26,上海,上海市,"31.21825356,121.3693669"
上海淞虹路(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),27,上海,上海市,"31.22010089,121.35492707"
上海虹桥2号航站楼(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),28,上海,上海市,"31.19615947,121.321765"
上海虹桥火车站(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),29,上海,上海市,"31.19598343,121.31443015"
上海国家会展中心(2号线)(地铁站),上海地铁2号线(浦东1号2号航站楼--国家会展中心(2号线)),30,上海,上海市,"31.19036678,121.29472806"
上海国家会展中心(2号线)(地铁站),上海地铁2号线西延段(国家会展中心(2号线)--蟠祥路),1,上海,上海市,"31.19036574,121.29472785"
上海蟠祥路(地铁站),上海地铁2号线西延段(国家会展中心(2号线)--蟠祥路),2,上海,上海市,"31.1840645,121.28298674"
上海蟠祥路(地铁站),上海地铁2号线西延段(蟠祥路--国家会展中心(2号线)),1,上海,上海市,"31.18406302,121.28298558"
上海国家会展中心(2号线)(地铁站),上海地铁2号线西延段(蟠祥路--国家会展中心(2号线)),2,上海,上海市,"31.19036603,121.29472719"
上海上海南站(地铁站),上海地铁3号线(上海南站--江杨北路),1,上海,上海市,"31.15523483,121.4264385"
上海石龙路(地铁站),上海地铁3号线(上海南站--江杨北路),2,上海,上海市,"31.15985632,121.43860507"
上海龙漕路(地铁站),上海地铁3号线(上海南站--江杨北路),3,上海,上海市,"31.17136246,121.43978352"
上海漕溪路(地铁站),上海地铁3号线(上海南站--江杨北路),4,上海,上海市,"31.17863651,121.43379847"
上海宜山路(地铁站),上海地铁3号线(上海南站--江杨北路),5,上海,上海市,"31.1885864,121.42256317"
上海虹桥路(地铁站),上海地铁3号线(上海南站--江杨北路),6,上海,上海市,"31.19938295,121.41617412"
上海延安西路(地铁站),上海地铁3号线(上海南站--江杨北路),7,上海,上海市,"31.21146575,121.41241925"
上海中山公园(地铁站),上海地铁3号线(上海南站--江杨北路),8,上海,上海市,"31.21979317,121.4111284"
上海金沙江路(地铁站),上海地铁3号线(上海南站--江杨北路),9,上海,上海市,"31.23398424,121.40855341"
上海曹杨路(地铁站),上海地铁3号线(上海南站--江杨北路),10,上海,上海市,"31.24113756,121.41305578"
上海镇坪路(地铁站),上海地铁3号线(上海南站--江杨北路),11,上海,上海市,"31.24821324,121.42514598"
上海中潭路(地铁站),上海地铁3号线(上海南站--江杨北路),12,上海,上海市,"31.25642627,121.43638781"
上海上海火车站(地铁站),上海地铁3号线(上海南站--江杨北路),13,上海,上海市,"31.25152559,121.45336678"
上海宝山路(地铁站),上海地铁3号线(上海南站--江杨北路),14,上海,上海市,"31.25346217,121.47178086"
上海东宝兴路(地铁站),上海地铁3号线(上海南站--江杨北路),15,上海,上海市,"31.26183279,121.47569748"
上海虹口足球场(地铁站),上海地铁3号线(上海南站--江杨北路),16,上海,上海市,"31.27333134,121.47464523"
上海赤峰路(地铁站),上海地铁3号线(上海南站--江杨北路),17,上海,上海市,"31.28319225,121.47793119"
上海大柏树(地铁站),上海地铁3号线(上海南站--江杨北路),18,上海,上海市,"31.29137698,121.47871962"
上海江湾镇(地铁站),上海地铁3号线(上海南站--江杨北路),19,上海,上海市,"31.3075075,121.48057254"
上海殷高西路(地铁站),上海地铁3号线(上海南站--江杨北路),20,上海,上海市,"31.32194102,121.48036209"
上海长江南路(地铁站),上海地铁3号线(上海南站--江杨北路),21,上海,上海市,"31.33401304,121.48701113"
上海淞发路(地铁站),上海地铁3号线(上海南站--江杨北路),22,上海,上海市,"31.34710814,121.49595013"
上海张华浜(地铁站),上海地铁3号线(上海南站--江杨北路),23,上海,上海市,"31.35997956,121.4942232"
上海淞滨路(地铁站),上海地铁3号线(上海南站--江杨北路),24,上海,上海市,"31.37287018,121.48834979"
上海水产路(地铁站),上海地铁3号线(上海南站--江杨北路),25,上海,上海市,"31.38322778,121.48376147"
上海宝杨路(地铁站),上海地铁3号线(上海南站--江杨北路),26,上海,上海市,"31.39721093,121.47505543"
上海友谊路(地铁站),上海地铁3号线(上海南站--江杨北路),27,上海,上海市,"31.40589946,121.47139412"
上海铁力路(地铁站),上海地铁3号线(上海南站--江杨北路),28,上海,上海市,"31.40996425,121.45656094"
上海江杨北路(地铁站),上海地铁3号线(上海南站--江杨北路),29,上海,上海市,"31.40965845,121.43519049"
上海江杨北路(地铁站),上海地铁3号线(江杨北路--上海南站),1,上海,上海市,"31.409658,121.43518879"
上海铁力路(地铁站),上海地铁3号线(江杨北路--上海南站),2,上海,上海市,"31.40996512,121.45656219"
上海友谊路(地铁站),上海地铁3号线(江杨北路--上海南站),3,上海,上海市,"31.40589902,121.47139322"
上海宝杨路(地铁站),上海地铁3号线(江杨北路--上海南站),4,上海,上海市,"31.3972117,121.47505599"
上海水产路(地铁站),上海地铁3号线(江杨北路--上海南站),5,上海,上海市,"31.38322851,121.48376063"
上海淞滨路(地铁站),上海地铁3号线(江杨北路--上海南站),6,上海,上海市,"31.3728711,121.48834955"
上海张华浜(地铁站),上海地铁3号线(江杨北路--上海南站),7,上海,上海市,"31.3599793,121.49422313"
上海淞发路(地铁站),上海地铁3号线(江杨北路--上海南站),8,上海,上海市,"31.34710859,121.49595015"
上海长江南路(地铁站),上海地铁3号线(江杨北路--上海南站),9,上海,上海市,"31.33401347,121.48701126"
上海殷高西路(地铁站),上海地铁3号线(江杨北路--上海南站),10,上海,上海市,"31.32194146,121.48036388"
上海江湾镇(地铁站),上海地铁3号线(江杨北路--上海南站),11,上海,上海市,"31.3075086,121.48057273"
上海大柏树(地铁站),上海地铁3号线(江杨北路--上海南站),12,上海,上海市,"31.29137654,121.47871985"
上海赤峰路(地铁站),上海地铁3号线(江杨北路--上海南站),13,上海,上海市,"31.28319171,121.47793064"
上海虹口足球场(地铁站),上海地铁3号线(江杨北路--上海南站),14,上海,上海市,"31.27333206,121.47464487"
上海东宝兴路(地铁站),上海地铁3号线(江杨北路--上海南站),15,上海,上海市,"31.26183381,121.47569886"
上海宝山路(地铁站),上海地铁3号线(江杨北路--上海南站),16,上海,上海市,"31.25346266,121.47178092"
上海上海火车站(地铁站),上海地铁3号线(江杨北路--上海南站),17,上海,上海市,"31.25152605,121.45336724"
上海中潭路(地铁站),上海地铁3号线(江杨北路--上海南站),18,上海,上海市,"31.25642532,121.4363884"
上海镇坪路(地铁站),上海地铁3号线(江杨北路--上海南站),19,上海,上海市,"31.24821329,121.42514732"
上海曹杨路(地铁站),上海地铁3号线(江杨北路--上海南站),20,上海,上海市,"31.24113745,121.41305448"
上海金沙江路(地铁站),上海地铁3号线(江杨北路--上海南站),21,上海,上海市,"31.23398342,121.40855314"
上海中山公园(地铁站),上海地铁3号线(江杨北路--上海南站),22,上海,上海市,"31.21979299,121.4111279"
上海延安西路(地铁站),上海地铁3号线(江杨北路--上海南站),23,上海,上海市,"31.21146523,121.41241825"
上海虹桥路(地铁站),上海地铁3号线(江杨北路--上海南站),24,上海,上海市,"31.19938147,121.41617396"
上海宜山路(地铁站),上海地铁3号线(江杨北路--上海南站),25,上海,上海市,"31.18858708,121.42256386"
上海漕溪路(地铁站),上海地铁3号线(江杨北路--上海南站),26,上海,上海市,"31.17863692,121.4337991"
上海龙漕路(地铁站),上海地铁3号线(江杨北路--上海南站),27,上海,上海市,"31.17136162,121.43978304"
上海石龙路(地铁站),上海地铁3号线(江杨北路--上海南站),28,上海,上海市,"31.15985647,121.43860467"
上海上海南站(地铁站),上海地铁3号线(江杨北路--上海南站),29,上海,上海市,"31.15523531,121.42643839"
上海宜山路(地铁站),上海地铁4号线内圈(宜山路--宜山路),1,上海,上海市,"31.18895227,121.42260652"
上海虹桥路(地铁站),上海地铁4号线内圈(宜山路--宜山路),2,上海,上海市,"31.19938232,121.41617548"
上海延安西路(地铁站),上海地铁4号线内圈(宜山路--宜山路),3,上海,上海市,"31.21146507,121.41241858"
上海中山公园(地铁站),上海地铁4号线内圈(宜山路--宜山路),4,上海,上海市,"31.21979386,121.411128"
上海金沙江路(地铁站),上海地铁4号线内圈(宜山路--宜山路),5,上海,上海市,"31.23398401,121.40855171"
上海曹杨路(地铁站),上海地铁4号线内圈(宜山路--宜山路),6,上海,上海市,"31.24113849,121.41305479"
上海镇坪路(地铁站),上海地铁4号线内圈(宜山路--宜山路),7,上海,上海市,"31.24821438,121.42514711"
上海中潭路(地铁站),上海地铁4号线内圈(宜山路--宜山路),8,上海,上海市,"31.25642567,121.43638784"
上海上海火车站(地铁站),上海地铁4号线内圈(宜山路--宜山路),9,上海,上海市,"31.25152541,121.45336615"
上海宝山路(地铁站),上海地铁4号线内圈(宜山路--宜山路),10,上海,上海市,"31.25346245,121.47178095"
上海海伦路(地铁站),上海地铁4号线内圈(宜山路--宜山路),11,上海,上海市,"31.26099398,121.4851916"
上海临平路(地铁站),上海地铁4号线内圈(宜山路--宜山路),12,上海,上海市,"31.26288088,121.4962652"
上海大连路(地铁站),上海地铁4号线内圈(宜山路--宜山路),13,上海,上海市,"31.25998412,121.50870081"
上海杨树浦路(地铁站),上海地铁4号线内圈(宜山路--宜山路),14,上海,上海市,"31.2539951,121.51283866"
上海浦东大道(地铁站),上海地铁4号线内圈(宜山路--宜山路),15,上海,上海市,"31.24237941,121.51493791"
上海世纪大道(地铁站),上海地铁4号线内圈(宜山路--宜山路),16,上海,上海市,"31.23078009,121.52287676"
上海向城路(地铁站),上海地铁4号线内圈(宜山路--宜山路),17,上海,上海市,"31.22439979,121.52776134"
上海蓝村路(地铁站),上海地铁4号线内圈(宜山路--宜山路),18,上海,上海市,"31.21367072,121.52356805"
上海塘桥(地铁站),上海地铁4号线内圈(宜山路--宜山路),19,上海,上海市,"31.21184495,121.51432791"
上海南浦大桥(地铁站),上海地铁4号线内圈(宜山路--宜山路),20,上海,上海市,"31.21053316,121.49529392"
上海西藏南路(地铁站),上海地铁4号线内圈(宜山路--宜山路),21,上海,上海市,"31.20396821,121.48508793"
上海鲁班路(地铁站),上海地铁4号线内圈(宜山路--宜山路),22,上海,上海市,"31.20118265,121.47063185"
上海大木桥路(地铁站),上海地铁4号线内圈(宜山路--宜山路),23,上海,上海市,"31.19598888,121.4587266"
上海东安路(地铁站),上海地铁4号线内圈(宜山路--宜山路),24,上海,上海市,"31.1927333,121.4503209"
上海上海体育场(地铁站),上海地铁4号线内圈(宜山路--宜山路),25,上海,上海市,"31.18749902,121.43892726"
上海上海体育馆(地铁站),上海地铁4号线内圈(宜山路--宜山路),26,上海,上海市,"31.18469907,121.43280972"
上海宜山路(地铁站),上海地铁4号线内圈(宜山路--宜山路),27,上海,上海市,"31.18895158,121.42260786"
上海宜山路(地铁站),上海地铁4号线外圈(宜山路--宜山路),1,上海,上海市,"31.18895107,121.42260757"
上海上海体育馆(地铁站),上海地铁4号线外圈(宜山路--宜山路),2,上海,上海市,"31.18469841,121.43280952"
上海上海体育场(地铁站),上海地铁4号线外圈(宜山路--宜山路),3,上海,上海市,"31.18749874,121.43892616"
上海东安路(地铁站),上海地铁4号线外圈(宜山路--宜山路),4,上海,上海市,"31.19273279,121.45032237"
上海大木桥路(地铁站),上海地铁4号线外圈(宜山路--宜山路),5,上海,上海市,"31.1959894,121.45872467"
上海鲁班路(地铁站),上海地铁4号线外圈(宜山路--宜山路),6,上海,上海市,"31.20118227,121.47063216"
上海西藏南路(地铁站),上海地铁4号线外圈(宜山路--宜山路),7,上海,上海市,"31.20396761,121.48508783"
上海南浦大桥(地铁站),上海地铁4号线外圈(宜山路--宜山路),8,上海,上海市,"31.21053265,121.49529374"
上海塘桥(地铁站),上海地铁4号线外圈(宜山路--宜山路),9,上海,上海市,"31.21184536,121.51432798"
上海蓝村路(地铁站),上海地铁4号线外圈(宜山路--宜山路),10,上海,上海市,"31.2136722,121.52356879"
上海向城路(地铁站),上海地铁4号线外圈(宜山路--宜山路),11,上海,上海市,"31.2244004,121.52776162"
上海世纪大道(地铁站),上海地铁4号线外圈(宜山路--宜山路),12,上海,上海市,"31.23078132,121.52287799"
上海浦东大道(地铁站),上海地铁4号线外圈(宜山路--宜山路),13,上海,上海市,"31.24237971,121.51493894"
上海杨树浦路(地铁站),上海地铁4号线外圈(宜山路--宜山路),14,上海,上海市,"31.25399603,121.51283929"
上海大连路(地铁站),上海地铁4号线外圈(宜山路--宜山路),15,上海,上海市,"31.25998327,121.50870187"
上海临平路(地铁站),上海地铁4号线外圈(宜山路--宜山路),16,上海,上海市,"31.26288213,121.49626431"
上海海伦路(地铁站),上海地铁4号线外圈(宜山路--宜山路),17,上海,上海市,"31.26099403,121.48519237"
上海宝山路(地铁站),上海地铁4号线外圈(宜山路--宜山路),18,上海,上海市,"31.25346298,121.47178166"
上海上海火车站(地铁站),上海地铁4号线外圈(宜山路--宜山路),19,上海,上海市,"31.25152619,121.45336729"
